Outlet_Identifier,Outlet_Age,Item_Weight,Item_Visibility,Item_MRP,Item_Visibility_Log,Item_Outlet_Sales,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Item_Fat_Content_Low Fat,Item_Fat_Content_Regular,MRP_Bucket_Low,MRP_Bucket_Medium,MRP_Bucket_High,MRP_Bucket_Very_High,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Weight_Bucket_Low,Weight_Bucket_Mode,Weight_Bucket_High,Item_Category_Drinks,Item_Category_Food,Item_Category_Non-Consumables,Visibility_Bucket_Low,Visibility_Bucket_Medium,Visibility_Bucket_High
9,14,9.3,0.016047301,249.8092,-3.6123082178025943,3735.138,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3,4,5.92,0.019278216,48.2692,-3.6123082178025943,443.4228,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
9,14,17.5,0.016760075,141.618,-3.6123082178025943,2097.27,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
0,15,19.2,0.0,182.095,-3.6123082178025943,732.38,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
1,26,8.93,0.0,53.8614,-3.6123082178025943,994.7052,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
3,4,10.395,0.0,51.4008,-3.6123082178025943,556.6088,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
1,26,13.65,0.012741089,57.6588,-3.6123082178025943,343.5528,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
5,28,12.857645184135976,0.127469857,107.7622,-2.0598753580205247,4022.7636,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
7,11,16.2,0.016687114,96.9726,-3.6123082178025943,1076.5986,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
2,6,19.2,0.09444959,187.8214,-2.3596890259651624,4710.535,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
9,14,11.8,0.0,45.5402,-3.6123082178025943,1516.0266,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
8,16,18.5,0.045463773,144.1102,-3.0908394679612456,2187.153,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
9,14,15.1,0.1000135,145.4786,-2.3024501021057255,1589.2646,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
8,16,17.6,0.047257328,119.6782,-3.052147547120498,2145.2076,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
1,26,16.35,0.0680243,196.4426,-2.6878902847002086,1977.426,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
8,16,9.0,0.069088961,56.3614,-2.6723603149502786,1547.3192,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
3,4,11.8,0.008596051,115.3492,-3.6123082178025943,1621.8888,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0
9,14,9.0,0.069196376,54.3614,-2.670806787672063,718.3982,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
5,28,12.857645184135976,0.034237682,113.2834,-3.3744284285983803,2303.668,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
6,9,13.35,0.10249212,230.5352,-2.2779693614077234,2748.4224,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
1,26,18.85,0.138190277,250.8724,-1.9791237246821762,3775.086,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
5,28,12.857645184135976,0.035399923,144.5444,-3.341045633986017,4064.0432,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
6,9,14.6,0.025698134,196.5084,-3.6123082178025943,1587.2672,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
4,28,12.857645184135976,0.057556998,107.6938,-2.854979552596853,214.3876,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
8,16,13.85,0.025896485,165.021,-3.6123082178025943,4078.025,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
2,6,13.0,0.099887103,45.906,-2.303714700760734,838.908,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
6,9,7.645,0.066693437,42.3112,-2.7076487267038427,1065.28,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
1,26,11.65,0.019356132,39.1164,-3.6123082178025943,308.9312,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
0,15,5.925,0.161466534,45.5086,-1.8234573776066596,178.4344,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
4,28,12.857645184135976,0.072221801,43.6454,-2.6280133257533738,125.8362,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0,15,19.25,0.170348551,55.7956,-1.7699086409283618,163.7868,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
3,4,18.6,0.080829372,96.4436,-2.5154148646591183,2741.7644,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
3,4,18.7,0.0,256.6672,-3.6123082178025943,3068.0064,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
7,11,17.85,0.0,93.1436,-3.6123082178025943,2174.5028,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
8,16,17.5,0.097904029,174.8738,-2.3237675760534655,2085.2856,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
9,14,10.0,0.089291137,146.7102,-2.415853045745308,3791.0652,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
5,28,12.857645184135976,0.059511812,128.0678,-2.8215804651248373,2797.6916,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
3,4,8.85,0.113123893,122.5388,-2.1792716626452857,1609.9044,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
5,28,12.857645184135976,0.123111453,36.9874,-2.094665211939171,388.1614,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
5,28,12.857645184135976,0.026480954,87.6198,-3.6123082178025943,2180.495,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
8,16,13.35,0.102511504,230.6352,-2.277780252555113,3435.528,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
1,26,9.8,0.02681843,126.002,-3.6123082178025943,2150.534,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
9,14,13.6,0.117818348,192.9136,-2.1386112643754553,2527.3768,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
3,4,21.35,0.069102831,259.9278,-2.6721595794384823,6768.5228,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
1,26,12.15,0.042277867,126.5046,-3.1634915686377654,373.5138,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
0,15,6.42,0.089498926,178.1002,-2.413528653773328,358.2004,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
7,11,19.6,0.0,153.3024,-3.6123082178025943,2428.8384,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
7,11,10.0,0.025879577,265.2226,-3.6123082178025943,5815.0972,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
8,16,15.85,0.121632721,60.622,-2.1067492584764773,2576.646,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
4,28,12.857645184135976,0.255394896,196.8794,-1.3649443199216806,780.3176,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
8,16,7.39,0.067779712,143.8812,-2.691492361853274,3134.5864,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
